index,ground_truth,prediction,correct,edit_distance,gt_length,pred_length
0,SLINKING,SLINKING,True,0,8,8
1,REMODELERS,REMODELERS,True,0,10,10
2,CHRONOGRAPHS,CHRONOGRAPHS,True,0,12,12
3,IMPEACHING,IMPEACHING,True,0,10,10
4,DISCOMBOBULATED,DISCONBOUATED,False,3,15,13
5,LOOTS,LOOTS,True,0,5,5
6,UNDERPAYS,UNDERPAYS,True,0,9,9
7,FLAMEPROOFED,FLMEPROOGJED,False,3,12,12
8,ENTICEMENTS,ENTICEMENTS,True,0,11,11
9,UKASE,UKASE,True,0,5,5
10,DESCANTED,DESCANTED,True,0,9,9
11,COOLIDGE,COOLIDGE,True,0,8,8
12,DOZINESS,DOZINESS,True,0,8,8
13,DELIBERATIONS,DELIBERATIONS,True,0,13,13
14,SUPREMACY,SUPREMACY,True,0,9,9
15,REMODELERS,REMODELERS,True,0,10,10
16,RESOLED,RESOLED,True,0,7,7
17,PERCIPIENCE,PERCIPIENCE,True,0,11,11
18,TERRIFYINGLY,TERIFUNGLT,False,4,12,10
19,PRIZEWINNER,PRIZEWINNER,True,0,11,11
20,ELABORATELY,CLABORATELY,False,1,11,11
21,HOPSCOTCHED,HOPSCOTCHED,True,0,11,11
22,TELNETTED,TELNETTED,True,0,9,9
23,DISPROPORTIONAL,DISPROPORTIONAL,True,0,15,15
24,WARMING,WARMING,True,0,7,7
25,BOOKSTORES,BOOKSTORES,True,0,10,10
26,METER,METER,True,0,5,5
27,SAVAGENESS,SAVAGENESS,True,0,10,10
28,POPPADOMS,PAPPATIOUS,False,4,9,10
29,GUISES,GUISES,True,0,6,6
30,TBS,TBS,True,0,3,3
31,RECEPTACLE,RECEPTACLE,True,0,10,10
32,MAS,MAS,True,0,3,3
33,GLADIOLI,GAMIOLS,False,3,8,7
34,GUNSHIPS,TANSHIPS,False,2,8,8
35,COXES,COXES,True,0,5,5
36,DOZY,DOZY,True,0,4,4
37,EMPOWERED,EMPOWERED,True,0,9,9
38,PUZZLERS,PUZZLERS,True,0,8,8
39,DESIGNATING,DESIGNATING,True,0,11,11
40,GOLDMINE,GOLDMINE,True,0,8,8
41,WRIST,WRIST,True,0,5,5
42,PREPPED,PREPPED,True,0,7,7
43,PUNCHY,PUNCHY,True,0,6,6
44,BELCHING,BELCHING,True,0,8,8
45,TUBER,TUBER,True,0,5,5
46,LAVATORIAL,LAVATORIAL,True,0,10,10
47,HOSTESSES,HOSTESSEES,False,1,9,10
48,BATHTUB,AUB,False,4,7,3
49,HALFWAY,HALFWAY,True,0,7,7
50,REARM,REARM,True,0,5,5
51,BLATHER,BLATHER,True,0,7,7
52,SCHOOLBOY,SCHOOLBOY,True,0,9,9
53,TOWNES,TOWNES,True,0,6,6
54,ANNOTATING,ANNOTATING,True,0,10,10
55,HISTORIES,HISTORIES,True,0,9,9
56,GLOSSIES,GLOSSIES,True,0,8,8
57,RATIONALIZES,RATIONALIZES,True,0,12,12
58,REMASTER,REMASTER,True,0,8,8
59,YOURSELF,YOURSELF,True,0,8,8
60,POT,POT,True,0,3,3
61,WAFFLED,WAFFLED,True,0,7,7
62,DARTH,DARTH,True,0,5,5
63,CRESTLESS,CRESTLESS,True,0,9,9
64,FINN,FINN,True,0,4,4
65,ANALOGIES,ANALOGIES,True,0,9,9
66,FATSOS,FASOS,False,1,6,5
67,PENISES,PENISES,True,0,7,7
68,DOMESTICATES,DOMESTICATES,True,0,12,12
69,BREWS,BREWS,True,0,5,5
70,RUTHENIUM,RUTHENIUM,True,0,9,9
71,SURER,SURER,True,0,5,5
72,OFFENSES,OFFENSES,True,0,8,8
73,SIRRAH,SID,False,4,6,3
74,STOMPING,STOMPING,True,0,8,8
75,SPARSITY,SPARSITY,True,0,8,8
76,SACRUM,SACRUM,True,0,6,6
77,DIMMED,DIMMED,True,0,6,6
78,PUFFER,FUNRER,False,3,6,6
79,REFLEXES,REFLOXES,False,1,8,8
